STEP: 1; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=8]
STEP: 2; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=7]
STEP: 3; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=6]
STEP: 4; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=6]
STEP: 5; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=7]
STEP: 6; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=7]
STEP: 7; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=7]
STEP: 8; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=7]
STEP: 9; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=7]
STEP: 10; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=6]
STEP: 11; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=7]
STEP: 12; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=8]
STEP: 13; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=8]
STEP: 14; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=8]
STEP: 15; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=7]
STEP: 16; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=6]
STEP: 17; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=6]
STEP: 18; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=7]
STEP: 19; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=7]
STEP: 20; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=6]
STEP: 21; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=6]
STEP: 22; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=6]
STEP: 23; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=5]
STEP: 24; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=6]
STEP: 25; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=7]
STEP: 26; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=6]
STEP: 27; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=5]
STEP: 28; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=4]
STEP: 29; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=5]
STEP: 30; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=6]
STEP: 31; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=5]
STEP: 32; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=5]
STEP: 33; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=5]
STEP: 34; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=4]
STEP: 35; EVENT: position;UNIT: 1; POSITION: Coordinate[x=14, y=4]
STEP: 36; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=4]
STEP: 37; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=5]
STEP: 38; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=4]
STEP: 39; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=4]
STEP: 40; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=3]
STEP: 41; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=3]
STEP: 42; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=2]
STEP: 43; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=3]
STEP: 44; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=3]
STEP: 45; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=4]
STEP: 46; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=4]
STEP: 47; EVENT: position;UNIT: 1; POSITION: Coordinate[x=14, y=4]
STEP: 48; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=4]
STEP: 49; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=3]
STEP: 50; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=4]
STEP: 51; EVENT: position;UNIT: 1; POSITION: Coordinate[x=13, y=5]
STEP: 52; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=5]
STEP: 53; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=6]
STEP: 54; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=5]
STEP: 55; EVENT: position;UNIT: 1; POSITION: Coordinate[x=12, y=6]
STEP: 56; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=6]
STEP: 57; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=5]
STEP: 58; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=6]
STEP: 59; EVENT: position;UNIT: 1; POSITION: Coordinate[x=11, y=5]
STEP: 60; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=5]
STEP: 61; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=4]
STEP: 62; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=5]
STEP: 63; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=4]
STEP: 64; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=3]
STEP: 65; EVENT: position;UNIT: 1; POSITION: Coordinate[x=10, y=2]
STEP: 66; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=2]
STEP: 67; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=1]
STEP: 68; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=2]
STEP: 69; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=1]
STEP: 70; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=0]
STEP: 71; EVENT: position;UNIT: 1; POSITION: Coordinate[x=9, y=1]
